finding_id,severity,module,title,expected,actual,reproduction_steps,evidence_path,file_and_line,impact,recommended_fix,verification_method,status
F001,P0,CLI/verify,"verify 含 5 个硬编码 PASS","每项调用真实验证函数检查实际输出","quote_traceability/review_workflow/fts_search/database_rebuild/external_data_isolation 5 行仅 print PASS","运行 evidence-agent verify round1",src/evidence_agent/cli.py,lines 281-285,"阻断验收可信度，Hard Gate #8","为每项编写实际验证逻辑，失败时返回码 7","人为破坏对应功能后 verify 必须 FAIL",open
F002,P0,CLI/workflow,"缺少 analyse 命令","evidence-agent analyse SRC-xxx --task TASK-xxx 作为主工作流入口","CLI 无 analyse 命令，无 task create 命令","grep analyse src/evidence_agent/cli.py",src/evidence_agent/cli.py,N/A,"阻断完整闭环，Hard Gate #2","实现 analyse 命令，协调 ingest→parse→extract→validate→persist→review","端到端运行 analyse 后数据库有完整记录",open
F003,P0,database/persistence,"主张从未写入数据库","extract_claims 后将 claims 和 locators 写入 SQLite","src/ 目录中无 INSERT INTO source_claims","grep 'INSERT INTO source_claims' src/",src/ 全目录,无匹配,"阻断完整闭环，Hard Gate #3","实现 database/repositories.py，在分析流程结束后写入","数据库查询 source_claims 有记录",open
F004,P0,CLI/review,"review export 传入空列表","按 run_id 从数据库读取 pending claims 生成复核包","generate_review_packet(validated_claims=[], failed_locators=[], ...)","查看 src/evidence_agent/cli.py review export 命令",src/evidence_agent/cli.py,line ~190,"阻断人工复核，Hard Gate #4","review export 按 run_id 查询 source_claims WHERE record_review_status='pending'","复核 CSV 包含非空记录",open
F005,P0,database/rebuild,"重建仅 drop + re-migrate","扫描资料包 manifest，恢复 sources/sections/claims/locators/reviews","rebuild() 只删除表后重跑 migration，不读取资料包","查看 src/evidence_agent/database/migrations.py rebuild()",src/evidence_agent/database/migrations.py,lines 133-170,"无法从灾难恢复，Hard Gate #7","实现 database/rebuild.py 从 sources/*/ 恢复所有数据","重建后 source_id/claim_id/review_status 与原库一致",open
F006,P0,tests/e2e,"E2E 使用空白 PDF","使用含真实文本的 PDF，产生可验证的真实主张","test_pipeline 使用 pypdf 生成的空白页 PDF，MockProvider 返回与 PDF 无关的固定 claims","运行 pytest tests/e2e/test_pipeline.py -v",tests/e2e/test_pipeline.py,lines 20-56,"虚假闭环，Hard Gate #9","替换为含真实科学文本的 PDF fixture + 对应真实主张的 MockProvider","E2E 产生 ≥1 条与 PDF 内容匹配的主张",open
F007,P0,docs,"Golden Set 不存在","存在含标注的真实文献样本 + 评估脚本","无 tests/golden/ 目录，无标注文件，无评估脚本","查找 tests/golden/",tests/golden/,不存在,"无法评估主张忠实度，Hard Gate #10","创建 tests/golden/annotations.jsonl + scripts/evaluate_golden.py","评估脚本可运行且产生指标",open
F008,P0,docs/execution-log,"执行日志虚高","诚实地标记每个 TASK 的实际完成状态","ROUND1_EXECUTION_LOG 标记所有 TASK completed，但 TASK 07-16 多个关键能力缺失","查看 docs/plans/ROUND1_EXECUTION_LOG.md",docs/plans/ROUND1_EXECUTION_LOG.md,N/A,"虚假完成报告，Hard Gate #12","重新标记每个 TASK 的真实状态 (verified/partial/missing)","每个 TASK 的状态与代码实际存在一致",open
F009,P1,review/decisions,"编辑后不重新校验 quote","approve_with_edits 后重新执行 match_quote 验证编辑内容","apply_review_csv 直接接受 edited_* 字段并写入数据库，未重新匹配","查看 review/decisions.py approve_with_edits 分支",src/evidence_agent/review/decisions.py,lines ~116-165,"编辑后的错误 quote 会被批准","在 approve_with_edits 分支调用 match_quote 验证后写入","编辑一个不存在于原文的 quote 会被拒绝",open
F010,P1,review/decisions,"重复应用幂等性未验证","重复应用同一 review_id 不重复写入","无 review_id 去重逻辑，每次调用生成新 review_id","查看 review/decisions.py",src/evidence_agent/review/decisions.py,N/A,"重复应用产生重复 review_decisions","增加基于 claim_id+decision+reviewer 的去重检查","连续两次 apply 同一 CSV 不产生额外记录",open
